BARREL,Trt,I-F,N-F,N-M,N-S
1,Repeated,0,7,14,0
2,Repeated,233,0,8,0
3,Control,86,1,0,0
4,Repeated,90,2,0,0
5,Control,0,0,0,0
6,Control,228,0,1,0
7,Control,0,68,0,0
8,Repeated,0,35,6,0
9,Control,35,0,6,0
10,Repeated,0,10,0,2
11,Repeated,153,0,0,2
12,Control,157,0,0,0
13,Control,152,0,0,0
14,Repeated,0,24,5,0
15,Repeated,241,0,3,0
16,Control,0,0,1,0
17,Repeated,0,30,15,0
18,Control,0,9,6,0
19,Repeated,0,18,0,0
20,Repeated,304,13,0,0
21,Repeated,28,0,0,4
22,Control,0,0,0,0
23,Control,232,0,3,0
24,Control,0,47,0,0
25,Repeated,0,199,22,0
26,Repeated,356,0,7,0
27,Control,0,11,4,0
28,Repeated,366,0,0,7
29,Control,220,162,0,0
30,Control,350,0,0,0
31,Control,0,50,0,0
32,Repeated,0,22,0,4
33,Control,0,13,0,0
34,Repeated,561,0,0,11
35,Control,0,1,5,0
36,Repeated,280,6,4,0
37,Control,0,0,0,0
38,Control,0,0,0,0
39,Repeated,251,0,3,0
40,Repeated,0,9,0,3
41,Repeated,421,0,0,12
42,Repeated,0,3,9,0
43,Repeated,293,136,0,0
44,Repeated,335,0,0,6
45,Control,369,21,0,0
46,Repeated,465,0,0,17
47,Control,0,71,0,0
48,Repeated,0,319,0,1
49,Control,674,0,0,0
50,Control,231,0,0,0
51,Control,0,0,8,0
52,Repeated,268,8,0,0
53,Control,0,0,3,0
54,Control,0,0,6,0
55,Control,0,1,0,0
56,Repeated,0,15,14,0
57,Repeated,893,0,0,15
58,Control,0,103,0,0
59,Control,1115,1,0,0
60,Control,980,0,10,0
61,Repeated,688,0,0,9
62,Repeated,0,13,6,0
63,Control,822,0,0,0
64,Control,0,313,0,0
65,Repeated,0,201,13,0
66,Control,503,0,0,0
67,Repeated,0,53,0,2
68,Control,365,0,0,0
69,Repeated,278,0,8,0
70,Repeated,556,0,6,0
71,Repeated,372,0,6,0
72,Control,0,66,7,0
73,Repeated,273,51,0,0
74,Control,214,100,0,0
75,Repeated,183,0,3,0
76,Control,250,0,13,0
77,Repeated,362,0,0,11
78,Control,429,0,3,0
79,Control,404,0,4,0
80,Repeated,272,0,0,9
81,Repeated,169,11,0,0
82,Repeated,0,188,0,1
83,Control,0,8,0,0
84,Control,0,1,0,0
85,Control,0,0,3,0
86,Control,418,0,3,0
87,Control,0,146,9,0
88,Repeated,354,0,11,0
89,Control,777,0,0,0
90,Control,234,165,0,0
91,Control,0,26,10,0
92,Repeated,429,46,0,0
93,Control,207,0,0,0
94,Repeated,0,21,5,0
95,Control,228,0,0,0
96,Control,246,4,0,0
97,Repeated,0,22,0,3
98,Control,242,0,0,0
99,Repeated,871,0,16,0
100,Control,552,0,0,0
101,Repeated,210,0,17,0
102,Repeated,317,21,0,0
103,Repeated,379,0,0,4
104,Repeated,0,9,13,0
105,Repeated,0,12,0,11
106,Repeated,486,0,0,21
107,Control,0,0,5,0
108,Control,0,96,0,0
109,Repeated,297,0,9,0
110,Repeated,526,47,0,0
111,Control,206,1,0,0
112,Repeated,366,0,10,0
113,Repeated,0,12,0,0
114,Repeated,0,318,0,3
115,Repeated,0,13,20,0
116,Repeated,396,0,0,6
117,Control,296,1,0,0
118,Repeated,343,0,5,0
119,Repeated,168,185,0,0
120,Control,394,0,7,0
121,Repeated,456,0,0,4
122,Control,536,1,0,0
123,Control,227,155,0,0
124,Repeated,328,0,7,0
125,Control,234,0,4,0
126,Control,410,0,0,0
127,Repeated,0,11,0,1
128,Repeated,0,108,8,0
129,Control,378,0,0,0
130,Control,229,0,0,0
131,Repeated,335,0,4,0
132,Control,0,137,5,0
133,Control,335,233,0,0
134,Control,403,136,0,0
135,Control,0,0,7,0
136,Repeated,0,171,0,0
137,Control,0,117,0,0
138,Repeated,238,46,0,0
139,Repeated,0,119,0,2
140,Control,429,0,0,0
141,Repeated,241,153,0,0
142,Control,814,0,0,0
143,Control,0,0,8,0
144,Control,263,13,0,0
145,Repeated,0,302,11,0
146,Control,0,0,11,0
147,Control,148,0,8,0
148,Control,558,0,0,0
149,Repeated,382,540,0,0
150,Repeated,0,16,29,0
151,Repeated,314,4,0,0
152,Repeated,0,25,0,2
153,Repeated,0,293,0,0
154,Repeated,0,53,9,0
155,Control,373,0,4,0
156,Repeated,244,0,0,8
157,Repeated,425,2,0,0
158,Control,392,0,8,0
159,Control,15,0,0,0
160,Control,211,0,4,0